"spit","뱉다","동사"
"splash","튀기다; 철벙거리다","동사"
"spoil","망치다; 손상시키다","동사"
"starve","굶주리다; 굶기다","동사"
"steal","훔치다","동사"
"stimulate","자극하다; 고무하다","동사"
"stretch","늘이다; 뻗다","동사"
"strip","옷을 벗다; 벗기다; 빼앗다","동사"
"submit","제출하다; 항복하다; 말하다; 진술하다","동사"
"subscribe","구독하다; 가입하다","동사"
"suck","빨다","동사"
"suffer","고통받다; 시달리다","동사"
"suggest","제안하다; 암시하다; 시사하다","동사"
"supervise","감독하다; 지도하다","동사"
"suppose","가정하다; 추측하다","동사"
"surround","둘러싸다; 에워싸다","동사"
"survive","살아남다; 생존하다","동사"
"suspend","연기하다; 중단하다; 정학[정직]하다; 매달다","동사"
"sustain","지탱하다; 버티다; 견디다","동사"
"swear","맹세하다; 욕을 하다","동사"
"swell","붓다; 부풀다; 부어오르다","동사"
"tackle","부딪치다; 논쟁하다","동사"
"tease","놀리다; 괴롭히다","동사"
"tend","~하는 경향이 있다; 돌보다","동사"
"terminate","끝내다; 종료하다","동사"
"testify","증언하다; 입증하다","동사"
"throw","던지다; 내던지다","동사"
"tie","묶다","동사"
"toss","던지다; 내던지다","동사"
"transact","거래하다","동사"
"transform","변형시키다; 바꾸다","동사"
"translate","번역하다; 해석하다; 설명하다","동사"
"transmit","전송하다; 전달하다; 전도하다","동사"
"undergo","겪다; 받다","동사"
"underlie","~의 기초가 되다; 기저를 이루다","동사"
"undermine","약화시키다; 훼손하다","동사"
"undertake","착수하다; 맡다","동사"
"unify","통합하다; 통일하다","동사"
"unite","연합하다; 통합시키다","동사"
"update","갱신하다; 새롭게 하다","동사"
"utilize","활용하다; 이용하다","동사"
"vanish","사라지다","동사"
"vary","다르다; 변하다; 변화를 주다","동사"
"wander","돌아다니다; 배회하다","동사"
"warn","경고하다","동사"
"weave","짜다; 엮다","동사"
"weigh","무게를 달다; 무겁다; 따져 보다","동사"
"wipe","닦다","동사"
"withdraw","철수하다; 인출하다; 취소하다","동사"
"absent","부재한; 결석한","형용사"
"absolute","완전한; 절대적인","형용사"
"abstract","추상; 요약[추록]; 추상적인; 발췌하다; 요약하다","명사/형용사/동사"
"absurd","우스꽝스러운; 터무니없는","형용사"
"abundant","풍부한; 많은","형용사"
"accurate","정확한; 정밀한","형용사"
"actual","실제의; 현실의","형용사"
"acute","심한; 급성의; 예리한; 예민한","형용사"
"adverse","불리한; 부정적인","형용사"
"aesthetic","미학적인; 심미적인","형용사"
